Nom,Dosage,Forme,Pr?sentation,Prix public,Prix hospitalier,DCI,Source
AFUCID,250 mg,comprimés,B/10,"16,715","13,541",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUSIBACTER 250,250 mg,Comprimés pelliculés,B/10,"17,460","13,541",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUCIDINE,250 mg,Comprimés pelliculés,B/10,"20,830","13,541",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
AFUSIDIC,250 mg,Comprimés pelliculés,B/10,"21,130","13,541",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUSIMAX,250 mg,Comprimés pelliculés,B/12,"21,985","16,249",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUSIBACTER 250,250 mg,Comprimés pelliculés,B/20,"31,860","27,081",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUSIMAX,250 mg,Comprimés pelliculés,B/20,"34,800","27,081",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
AFUSIDIC,250 mg,Comprimés pelliculés,B/20,"35,670","27,081",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
FUCIDINE,250 mg,Suspension buvable,FL/90 ml,"23,225","19,737",ACIDE FUSIDIQUE,ballouchi.github.io/medoc
AMOXICILLINE WINTHROP,500 mg,Gélules,B/12,"3,845","2,519",AMOXICILLINE,ballouchi.github.io/medoc
GALAMOX,500 mg,Gélules,B/12,"4,270","2,519",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,500 mg,Comprimés pelliculés,B/12,"4,430","2,519",AMOXICILLINE,ballouchi.github.io/medoc
HICONCIL,500 mg,Gélules,B/12,"4,540","2,519",AMOXICILLINE,ballouchi.github.io/medoc
CLAMOXYL,500 mg,Gélules,B/12,"7,920","2,519",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,500 mg,Comprimés pelliculés,B/24,"5,935","5,039",AMOXICILLINE,ballouchi.github.io/medoc
AMOXICILLINE SANOFI,500 mg,Gélules,B/24,"7,020","5,039",AMOXICILLINE,ballouchi.github.io/medoc
PENAMOX,500 mg,Gélules,B/24,"8,475","5,039",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,1 g,Comprimés pelliculés,B/12,"6,115","5,192",AMOXICILLINE,ballouchi.github.io/medoc
PENAMOX,1 g,Comprimés pelliculés sécables,B/12,"8,475","5,192",AMOXICILLINE,ballouchi.github.io/medoc
GALAMOX,500 mg,Comprimés dispersibles,B/12,"4,270","3,070",AMOXICILLINE,ballouchi.github.io/medoc
NOVAMOX,500 mg,Comprimés dispersibles,B/12,"5,480","3,070",AMOXICILLINE,ballouchi.github.io/medoc
CLAMOXYL DISPERSIBLE,500 mg,Comprimés solubles,B/12,"8,740","3,070",AMOXICILLINE,ballouchi.github.io/medoc
GALAMOX,500 mg,Comprimés dispersibles,B/24,"7,240","6,140",AMOXICILLINE,ballouchi.github.io/medoc
SAIFOXYL,500 mg,Comprimés dispersibles sécables,B/24,"8,770","6,140",AMOXICILLINE,ballouchi.github.io/medoc
NOVAMOX,500 mg,Comprimés dispersibles,B/24,"9,395","6,140",AMOXICILLINE,ballouchi.github.io/medoc
AMOXAL,500 mg,Comprimés dispersibles,B/24,"9,490","6,140",AMOXICILLINE,ballouchi.github.io/medoc
AMOXICILLINE SANOFI,1 g,Comprimés dispersibles,B/12,"8,000","4,845",AMOXICILLINE,ballouchi.github.io/medoc
